Damage over distance
Distance;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;;RPM
416-C CARBINE;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;37;35;34;32;31;29;28;26;25;23;22;22;22;22;22;22;;740
552 COMMANDO;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;46;44;42;40;39;37;35;33;31;29;28;28;28;28;28;28;;690
556XI;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;46;44;43;41;39;37;35;33;31;29;28;28;28;28;28;28;;690
AK-12;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;39;38;36;35;33;31;30;28;27;25;24;24;24;24;24;24;;850
AK-74M;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;43;41;40;38;36;34;32;31;29;27;26;26;26;26;26;26;;650
AR33;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;40;39;37;35;34;32;31;29;27;25;24;24;24;24;24;24;;749
ARX200;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;46;44;42;40;38;36;35;33;31;29;28;28;28;28;28;28;;700
AUG A2;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;41;40;38;36;34;33;31;29;28;26;25;25;25;25;25;25;;720
C7E;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;41;39;38;36;34;33;31;29;27;26;25;25;25;25;25;25;;800
C8-SFW;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;39;38;36;34;33;31;30;28;26;25;24;24;24;24;24;24;;837
COMMANDO 9;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;35;34;32;31;29;28;27;25;24;22;21;21;21;21;21;21;21;21;21;21;21;21;21;;780
F2;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;36;35;33;32;30;29;27;26;24;23;22;22;22;22;22;22;;980
F90;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;37;35;34;32;31;29;27;26;25;23;22;22;22;22;22;22;;780
G36C;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;37;36;34;33;31;30;28;27;25;24;22;22;22;22;22;22;;780
L85A2;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;46;44;42;40;39;37;35;33;32;29;28;28;28;28;28;28;;670
M4;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;43;41;39;38;36;34;32;30;29;27;26;26;26;26;26;26;;750
M762;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;44;42;40;38;37;35;33;31;30;28;27;27;27;27;27;27;;730
MK17 CQB;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;39;38;36;34;33;31;30;28;27;25;24;24;24;24;24;24;;585
PARA-308;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;47;46;44;42;41;39;37;35;33;31;29;28;28;28;28;28;28;;650
POF-9;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;34;32;31;29;28;26;25;23;22;21;21;21;21;21;21;;740
R4-C;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;38;37;35;34;32;30;29;27;26;24;23;23;23;23;23;23;;860
SC3000K;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;44;42;40;38;37;35;33;31;30;28;27;27;27;27;27;27;;800
SPEAR .308;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;41;39;37;36;34;32;31;29;27;26;25;25;25;25;25;25;;700
TYPE-89;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;39;38;36;34;33;31;30;28;26;25;24;24;24;24;24;24;;850
V308;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;43;41;39;38;36;34;32;31;29;27;26;26;26;26;26;26;;700
417;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;69;68;66;64;62;60;58;56;54;52;50;49;;430
